first_name,last_name,date_of_birth,above_18,Membership_ID
Zi,XiangLim,19990616,True,XiangLim_0b861
tan,kanmin,19940607,True,kanmin_7ddb2
Jerry,TerryDVM,19840628,True,TerryDVM_5b78c
Anita,Harrison,19870630,True,Harrison_bc9cb
Antonio,Nguyen,19750921,True,Nguyen_f6902
Dustin,VargasIII,19910829,True,VargasIII_0df4d
Michael,Crawford,19800417,True,Crawford_fe072
Kevin,HaleyDVM,20010216,True,HaleyDVM_ad2e2
Charles,Mcintyre,19700822,True,Mcintyre_fbd71
Kevin,Williams,19981002,True,Williams_dbdaf
Alicia,Mcclain,19830620,True,Mcclain_cf302
Dominique,HerreraDVM,19750929,True,HerreraDVM_014e6
Jennifer,Sanders,19991215,True,Sanders_d0a7d
Shannon,RamosIII,19780323,True,RamosIII_525d3
Amy,Pena,19980918,True,Pena_2772e
Thomas,MorrisonPhD,20030511,True,MorrisonPhD_a7c97
Alexander,MorrisonDDS,19710619,True,MorrisonDDS_10df6
Jeffrey,Flores,19730106,True,Flores_aa69b
Benjamin,Silva,19831101,True,Silva_94c5a
William,Ramirez,19900323,True,Ramirez_2360e
Donna,Thornton,19970823,True,Thornton_bdf84
John,Crawford,19720328,True,Crawford_317e0
April,Sullivan,19720309,True,Sullivan_76d3c
Julie,Moon,19760828,True,Moon_5243c
Manuel,Ramirez,19731108,True,Ramirez_f603e
Nicholas,Coleman,19800615,True,Coleman_8aea8
Robert,Fox,19960426,True,Fox_6d9bc
Nicholas,Green,19751109,True,Green_deb09
Wesley,Johnson,19840601,True,Johnson_94838
Mary,Smith,19850503,True,Smith_0b473
Robert,Mendoza,19760229,True,Mendoza_fc228
Miss,LoriWeaver,19821113,True,LoriWeaver_7b40d
Dwayne,LarsonDDS,19950211,True,LarsonDDS_4f1e6
Christopher,Craig,19720805,True,Craig_0d017
Alexander,MurilloII,19990705,True,MurilloII_bb219
David,McgeeII,19831102,True,McgeeII_46c97
Donna,Alvarado,19870512,True,Alvarado_585c8
Bruce,AllenII,19941110,True,AllenII_b5a01
Melanie,Coffey,19951022,True,Coffey_a9471
Samantha,Allen,20040329,True,Allen_104ef
Raymond,Anderson,20050410,True,Anderson_dfc4e
Amanda,AndersonDDS,19780226,True,AndersonDDS_ebee7
Veronica,Gilmore,19860209,True,Gilmore_99f82
Christine,Boyd,19861218,True,Boyd_11b85
Michele,BrownIII,19860901,True,BrownIII_9127e
Scott,RodriguezJr,19780909,True,RodriguezJr_3548c
Tracy,Hunt,19870205,True,Hunt_93cff
Kenneth,YoungDVM,19830304,True,YoungDVM_b2f5f
Julie,GardnerDVM,19900920,True,GardnerDVM_44a48
Juan,Davenport,19930520,True,Davenport_fb7a5
William,RamosII,20041008,True,RamosII_7be6d
Steven,MillerIII,19760614,True,MillerIII_d9ff1
Diana,Levy,19921024,True,Levy_04311
Donna,Rodriguez,19850927,True,Rodriguez_5789f
Melissa,LewisDVM,19910216,True,LewisDVM_7cd93
Bethany,WheelerDVM,19830321,True,WheelerDVM_c2858
John,Lopez,19740124,True,Lopez_a7c33
William,ColemanPhD,19981213,True,ColemanPhD_de13d
Christine,Howard,20000803,True,Howard_510e2
Hunter,GarciaDDS,19761208,True,GarciaDDS_b84af
Tonya,SalazarMD,19900612,True,SalazarMD_13d09
Mary,Middleton,19820907,True,Middleton_a7d45
Rhonda,Wiggins,19731202,True,Wiggins_7049a
Miss,BrandiMeza,19771227,True,BrandiMeza_a8483
Nancy,Stephenson,19821027,True,Stephenson_43086
Scott,Wall,19810404,True,Wall_15ff4
Brittany,Price,19790228,True,Price_17898
Jeffrey,WeberDDS,19791010,True,WeberDDS_4550a
Heather,Murray,19920930,True,Murray_ffd92
Miss,EdgarHendersonII,19960628,True,EdgarHendersonII_8a4c2
Noah,RiveraIII,19920807,True,RiveraIII_fa882
Kristi,Scott,19720213,True,Scott_ffab2
Tamara,WalkerDVM,19740626,True,WalkerDVM_e129d
Bryan,ShermanJr,19810325,True,ShermanJr_0e711
