first_name,last_name,date_of_birth,above_18,Membership_ID
Danielle,Daniels,19730110,True,Daniels_7a512
Evelyn,WareJr,19721223,True,WareJr_da04e
Autumn,Johnson,19740116,True,Johnson_18122
Jennifer,Miller,19880814,True,Miller_8e3b0
Douglas,Franklin,19930824,True,Franklin_fd630
Timothy,Wilson,19851011,True,Wilson_87c6f
Tamara,Kidd,19940208,True,Kidd_19d37
Miss,MichaelHawkins,19880219,True,MichaelHawkins_33105
Timothy,Johnson,19961209,True,Johnson_b5cdd
Alexander,Dalton,19750518,True,Dalton_5b18f
Susan,Kim,19960125,True,Kim_85909
Matthew,LopezJr,19761202,True,LopezJr_b7f92
Daniel,Myers,19840307,True,Myers_2af78
Willie,ButlerIII,19860313,True,ButlerIII_65479
Katherine,AdamsDVM,19980522,True,AdamsDVM_fb789
Tina,WilsonII,19890408,True,WilsonII_551cc
Jason,English,19751224,True,English_89c7e
Emily,JacksonDDS,19871022,True,JacksonDDS_36015
Jessica,Sullivan,19770423,True,Sullivan_14066
Kenneth,Campbell,19921031,True,Campbell_4d245
Kimberly,KentDDS,19891031,True,KentDDS_830b7
Patricia,Wyatt,19900411,True,Wyatt_fc5e3
Sherry,MillerDVM,19711019,True,MillerDVM_41530
Amanda,Allison,19730319,True,Allison_78a55
Tom,Wolf,19930116,True,Wolf_d216e
Tiffany,JacksonPhD,20020406,True,JacksonPhD_fb7ae
Lawrence,HintonIII,20010607,True,HintonIII_4a858
Brian,HopkinsPhD,19770317,True,HopkinsPhD_65cd9
Miss,KevinSimon,19760809,True,KevinSimon_ec44a
Crystal,Gutierrez,20000607,True,Gutierrez_d1994
John,Jones,19771225,True,Jones_88aaf
Timothy,Keller,19880205,True,Keller_6b75c
Steven,Holland,19900928,True,Holland_6e0bb
Lisa,Carpenter,19840106,True,Carpenter_9f258
Natasha,Anderson,19721005,True,Anderson_b78bc
Lisa,CopelandMD,19820117,True,CopelandMD_b7d3f
Danielle,GillPhD,19811006,True,GillPhD_d7ee5
Whitney,Garcia,19890706,True,Garcia_7f512
Mia,Fritz,20030722,True,Fritz_610f2
John,FordJr,19720124,True,FordJr_76ffd
Kathy,Johnston,19740315,True,Johnston_9c12e
Dana,Weber,19940517,True,Weber_d3173
Patricia,Tran,20030508,True,Tran_70ea1
Dorothy,Thomas,19830415,True,Thomas_193cc
John,Hunt,19790105,True,Hunt_34afe
Michael,PaulDVM,19791015,True,PaulDVM_3ea3d
Benjamin,HughesDDS,19810907,True,HughesDDS_1c79b
Christine,Johnson,19710919,True,Johnson_caae7
Mark,Mills,19860105,True,Mills_d2ffc
Miss,SamanthaKempDDS,19701222,True,SamanthaKempDDS_8f42e
Maria,Cantrell,19980612,True,Cantrell_0838d
Jeffrey,Walker,19781221,True,Walker_0a969
Barbara,Marks,19911106,True,Marks_8ae46
Deborah,Jacobs,19930419,True,Jacobs_1ecf8
Brian,Edwards,19780408,True,Edwards_d5b5a
Samantha,Conley,19730104,True,Conley_7f3c2
Justin,WebbII,19710830,True,WebbII_2eb8a
Valerie,Franklin,19970130,True,Franklin_51c05
Nicholas,Krueger,20031111,True,Krueger_26f50
Gina,LevyPhD,19940411,True,LevyPhD_c5181
David,AllenII,19890615,True,AllenII_30c3e
Marcus,Carroll,19951231,True,Carroll_3cb6e
William,Hunt,19751124,True,Hunt_925f6
Samuel,MossIII,20000114,True,MossIII_73768
Theresa,ReyesDDS,19880613,True,ReyesDDS_16f28
James,DoyleMD,19710410,True,DoyleMD_1117e
Terry,JonesPhD,19700608,True,JonesPhD_154d0
Michelle,Neal,19970321,True,Neal_0a853
Miss,ChristinePrice,19800719,True,ChristinePrice_c2fcd
Carl,Gomez,19840317,True,Gomez_5aa24
Lori,Pearson,19970711,True,Pearson_7d9a0
Angela,Smith,20031104,True,Smith_69942
Michelle,Joyce,20010422,True,Joyce_50fd1
Stephen,Bowman,19920517,True,Bowman_9d209
Samantha,WarnerPhD,19880609,True,WarnerPhD_e3617
Miss,LaurenButlerDVM,19810601,True,LaurenButlerDVM_d5b3f
Derrick,George,19871203,True,George_3e0de
Crystal,Walker,19900704,True,Walker_ab76a
Erica,Cole,19750212,True,Cole_be2a3
Johnny,Johnson,20030123,True,Johnson_f8609
William,Graham,19791113,True,Graham_eadd3
Michelle,Goodman,19950422,True,Goodman_3dc33
Amanda,Gilbert,19950714,True,Gilbert_4bd54
Traci,Hubbard,20020206,True,Hubbard_abe58
Gary,Jackson,19900607,True,Jackson_77e48
Judith,Carroll,19890101,True,Carroll_abf76
Caitlin,SalasII,19721209,True,SalasII_7df36
Michael,Spears,19840827,True,Spears_5dcba
Melissa,Hall,19760228,True,Hall_a83fd
Craig,SimpsonMD,20011120,True,SimpsonMD_ff814
Brian,Robinson,19941222,True,Robinson_39a65
Brandon,Crawford,19760111,True,Crawford_cbf97
Ruben,Williams,19920721,True,Williams_843c3
Alyssa,OliverIII,19891006,True,OliverIII_69da6
Zachary,PattersonDDS,19901027,True,PattersonDDS_6462d
Dylan,MooreII,19730206,True,MooreII_c5469
Kathleen,FletcherPhD,19960715,True,FletcherPhD_30052
Kevin,Hopkins,19901030,True,Hopkins_dcfee
Miss,AngelaStephens,19810823,True,AngelaStephens_7a20b
Kenneth,BlairDVM,19860727,True,BlairDVM_5c754
Russell,Garcia,20020523,True,Garcia_9db77
Jeffery,SingletonJr,19771121,True,SingletonJr_646a2
Cynthia,Bryant,19771002,True,Bryant_5be4f
Matthew,MoyerMD,19940715,True,MoyerMD_5ae26
Joseph,CurtisPhD,19840216,True,CurtisPhD_56f71
Meghan,Maldonado,19700429,True,Maldonado_cf657
Luke,Morales,19940507,True,Morales_a1878
Wayne,Thompson,19910811,True,Thompson_ca1f7
Rebecca,MarshJr,19870407,True,MarshJr_f3d6e
Paul,Tyler,19890528,True,Tyler_108c6
Victoria,MartinezIII,19981118,True,MartinezIII_02b5c
Kristen,PerezJr,19790509,True,PerezJr_68c3c
Patrick,Castillo,19720107,True,Castillo_d04aa
Clayton,EatonDVM,20050722,True,EatonDVM_a9309
Shane,Franklin,19771202,True,Franklin_bb601
Cynthia,Erickson,20050609,True,Erickson_ace71
Deborah,Williams,19780501,True,Williams_e6519
Richard,Skinner,19930119,True,Skinner_23917
Charles,PriceJr,20040825,True,PriceJr_8b316
Crystal,Armstrong,19940606,True,Armstrong_3cc5a
Lindsey,Deleon,20030922,True,Deleon_3f43c
Craig,JimenezMD,19741009,True,JimenezMD_8ca12
Maria,Murray,19710131,True,Murray_26e98
Amanda,ThompsonMD,19911109,True,ThompsonMD_91989
Carrie,Herrera,19990219,True,Herrera_fc6ff
Elizabeth,JohnsonDDS,19750528,True,JohnsonDDS_db88c
Craig,Anderson,19720423,True,Anderson_94edc
Elizabeth,Meyer,19810202,True,Meyer_064d5
Brian,White,19880304,True,White_8b160
Calvin,Boyd,19771015,True,Boyd_dcb87
